N,rep,latency_ms
1,0,5.914217999816174
1,1,6.1330620001172065
1,2,8.47829600024852
1,3,5.790086999695632
1,4,8.032336000724172
1,5,6.670380000286968
1,6,5.7007539999176515
1,7,6.230414999663481
1,8,5.662270999891916
1,9,6.248599999707949
1,10,5.61084299988579
1,11,5.695462999938172
1,12,7.33604800007015
1,13,6.2161470004866715
1,14,5.7838479997371905
1,15,5.479942999954801
1,16,5.84342000001925
1,17,5.560483000408567
1,18,6.059530000129598
1,19,5.593377999502991
1,20,6.099467999774788
1,21,5.669930000294698
1,22,6.103652000092552
1,23,5.656025999996928
1,24,5.716771000152221
1,25,5.797797000013816
1,26,5.713269000807486
1,27,5.522159000065585
1,28,5.751923999923747
1,29,5.67700200008403
10,0,56.151194999984
10,1,78.1926139998177
10,2,57.59278099958465
10,3,57.97383800017997
10,4,56.812814000295475
10,5,56.413584999972954
10,6,56.57040700043581
10,7,55.00123900037579
10,8,57.444364000730275
10,9,56.14215500008868
10,10,72.7197480000541
10,11,56.64067399993655
10,12,57.69974800023192
10,13,58.32806599937612
10,14,55.79242600015277
10,15,56.23197899967636
10,16,56.20382899996912
10,17,56.53709899979731
10,18,55.07161700006691
10,19,57.54064800021297
10,20,57.72216000059416
10,21,58.43186899983266
10,22,63.28714600022067
10,23,57.62063400015904
10,24,56.24904399974184
10,25,56.13111899947398
10,26,57.0058280000012
10,27,57.65003099986643
10,28,57.00257500029693
10,29,56.1069450004652
50,0,287.155365000217
50,1,284.10654900017107
50,2,283.15675300018484
50,3,304.1279779999968
50,4,306.6259179995541
50,5,293.13491599987174
50,6,294.9911229998179
50,7,291.78186700028164
50,8,315.97225299992715
50,9,302.1835320005266
50,10,315.3286790002312
50,11,309.34903800061875
50,12,310.89163399974495
50,13,298.9033300000301
50,14,294.7876650005128
50,15,299.56315900017216
50,16,300.3541210000549
50,17,313.36144999932003
50,18,300.97954499979096
50,19,306.1649439996472
50,20,292.2832930007644
50,21,298.27981400012504
50,22,292.1849470003508
50,23,293.24788200028706
50,24,303.6062099999981
50,25,298.02179299986165
50,26,304.82553299952997
50,27,290.3504799996881
50,28,298.10025700044207
50,29,294.5234420003544
