S_shared,rep,rekey_total_ms
1,0,7.470816999557428
1,1,7.542428000306245
1,2,7.5146710005356
1,3,7.618106999871088
1,4,7.539264999650186
1,5,7.507145999625209
1,6,7.6133810016472125
1,7,7.906321001428296
1,8,7.60415200056741
1,9,8.01092400070047
1,10,7.591907000460196
1,11,7.677382998735993
1,12,7.610892998854979
1,13,7.646351999937906
1,14,7.453057998645818
1,15,8.331357001225115
1,16,7.828010000594077
1,17,7.639118000952294
1,18,7.8838609988451935
1,19,8.5688700000901
1,20,7.402729999739677
1,21,7.778346000122838
1,22,7.493680001061875
1,23,8.680397000716766
1,24,7.7129269993747585
1,25,7.891396000559325
1,26,8.357417000297573
1,27,8.007854001334636
1,28,7.467065999662736
1,29,7.928270000775228
10,0,98.69164399970032
10,1,78.28994000010425
10,2,86.61307500005933
10,3,75.75848200031032
10,4,78.09877799991227
10,5,76.38866699926439
10,6,82.22918300089077
10,7,91.46472799875482
10,8,75.6746370007022
10,9,78.34632499907457
10,10,77.88127599997097
10,11,76.96634000058111
10,12,75.68734599954041
10,13,80.66301500002737
10,14,78.85814600012964
10,15,76.53172199934488
10,16,75.6056410009478
10,17,76.26553799855174
10,18,77.50326700079313
10,19,76.87684000120498
10,20,76.46617200043693
10,21,76.33007300137251
10,22,75.40485999925295
10,23,77.30651000019861
10,24,76.94894199994451
10,25,79.08560499890882
10,26,76.96132399905764
10,27,75.3865839997161
10,28,75.53276399994502
10,29,76.37876399894594
50,0,382.5335780002206
50,1,387.33845299975656
50,2,386.8187069983833
50,3,380.93913000011526
50,4,384.02094499906525
50,5,389.6606510006677
50,6,391.30834199931996
50,7,381.6797409999708
50,8,387.6723570010654
50,9,389.82852499975706
50,10,388.40829100081464
50,11,385.7381970010465
50,12,391.2999799995305
50,13,384.1780379989359
50,14,380.64370099891676
50,15,381.89191200035566
50,16,380.77212999996846
50,17,386.1955009997473
50,18,384.2881099990336
50,19,385.40326499969524
50,20,386.02165700103797
50,21,378.9569450000272
50,22,388.2942020009068
50,23,385.60504099950776
50,24,384.39069200103404
50,25,389.37840000107826
50,26,388.546199999837
50,27,392.3630850003974
50,28,390.79570200010494
50,29,395.91880700027104
