S_shared,rep,delegate_total_ms
1,0,4.807154000445735
1,1,4.116083000553772
1,2,4.22287800029153
1,3,4.171968001173809
1,4,4.228547000820981
1,5,4.042230999402818
1,6,4.2252970015397295
1,7,4.125532999751158
1,8,4.729002001113258
1,9,4.199189999781083
1,10,4.066894000061438
1,11,4.096542999832309
1,12,4.166855000221403
1,13,4.087843999514007
1,14,4.60928599932231
1,15,4.27348700031871
1,16,4.112284999791882
1,17,4.436698000063188
1,18,4.520852000496234
1,19,4.272396001397283
1,20,4.1364779990544776
1,21,4.153215999394888
1,22,4.057168000144884
1,23,4.698874001405784
1,24,4.392339000332868
1,25,4.15830800011463
1,26,4.7874680003587855
1,27,4.2624750003597
1,28,4.047836000609095
1,29,4.508381998675759
10,0,45.67429300004733
10,1,47.100965999561595
10,2,41.64148099880549
10,3,42.31816100036667
10,4,41.34917099872837
10,5,42.604961001416086
10,6,42.13669700038736
10,7,53.00050400001055
10,8,41.48563200033095
10,9,45.04409299988765
10,10,41.80118199838034
10,11,41.43198099882284
10,12,40.947408000647556
10,13,47.432695000679814
10,14,43.04914199929044
10,15,41.0314600012498
10,16,41.00309199930052
10,17,41.460777998509
10,18,41.81176800011599
10,19,41.08286799964844
10,20,41.86516499976278
10,21,44.04749999957858
10,22,41.9543669995619
10,23,41.20518400122819
10,24,41.4318640014244
10,25,43.95818000011786
10,26,41.46412800037069
10,27,40.975210000397055
10,28,44.58601299847942
10,29,41.73338600048737
50,0,213.35700300005556
50,1,206.89900999968813
50,2,209.22174099905533
50,3,213.68421599981957
50,4,206.30482500018843
50,5,212.25602000049548
50,6,213.7639209995541
50,7,209.2381429993111
50,8,210.77303600031883
50,9,210.37222300037683
50,10,210.38950799993472
50,11,211.96278800016444
50,12,210.6479220001347
50,13,210.3453880008601
50,14,210.13658700030646
50,15,209.65814299961494
50,16,208.38206599910336
50,17,208.9485020005668
50,18,212.12045200081775
50,19,210.13259299979836
50,20,210.79943900076614
50,21,207.25535999918065
50,22,207.9980250000517
50,23,215.66977899965423
50,24,210.23266699921805
50,25,211.41454200005683
50,26,220.6703430001653
50,27,215.64274899901648
50,28,212.69169700099155
50,29,217.84379500059003
